trip_id,start_time,end_time,headway_secs,exact_times
1,06:00:00,24:00:00,16200,1
10,06:00:00,24:00:00,16200,1
11,06:00:00,24:00:00,16200,1
12,06:00:00,24:00:00,16200,1
13,06:00:00,24:00:00,16200,1
14,06:00:00,24:00:00,16200,1
15,06:00:00,24:00:00,16200,1
16,06:00:00,24:00:00,16200,1
17,06:00:00,24:00:00,16200,1
18,06:00:00,24:00:00,32400,1
19,06:00:00,24:00:00,16200,1
1a,06:00:00,24:00:00,16200,1
1b,06:00:00,24:00:00,32400,1
1c,06:00:00,24:00:00,16200,1
1d,06:00:00,24:00:00,16200,1
1e,06:00:00,24:00:00,16200,1
1f,06:00:00,24:00:00,16200,1
1g,06:00:00,24:00:00,16200,1
1h,06:00:00,24:00:00,16200,1
1i,06:00:00,24:00:00,16200,1
1j,06:00:00,24:00:00,32400,1
1k,06:00:00,24:00:00,16200,1
1l,06:00:00,24:00:00,16200,1
1m,06:00:00,24:00:00,8100,1
1n,06:00:00,24:00:00,16200,1
1o,06:00:00,24:00:00,8100,1
1p,06:00:00,24:00:00,32400,1
1q,06:00:00,24:00:00,16200,1
1r,06:00:00,24:00:00,16200,1
1s,06:00:00,24:00:00,16200,1
1t,06:00:00,24:00:00,16200,1
1u,06:00:00,24:00:00,16200,1
1v,06:00:00,24:00:00,8100,1
1w,06:00:00,24:00:00,16200,1
1x,06:00:00,24:00:00,32400,1
1y,06:00:00,24:00:00,16200,1
1z,06:00:00,24:00:00,16200,1
2,06:00:00,24:00:00,16200,1
20,06:00:00,24:00:00,16200,1
21,06:00:00,24:00:00,16200,1
22,06:00:00,24:00:00,32400,1
23,06:00:00,24:00:00,16200,1
24,06:00:00,24:00:00,16200,1
25,06:00:00,24:00:00,32400,1
26,06:00:00,24:00:00,16200,1
27,06:00:00,24:00:00,16200,1
28,06:00:00,24:00:00,32400,1
29,06:00:00,24:00:00,32400,1
2a,06:00:00,24:00:00,32400,1
2b,06:00:00,24:00:00,16200,1
2c,06:00:00,24:00:00,16200,1
2d,06:00:00,24:00:00,16200,1
2e,06:00:00,24:00:00,16200,1
2f,06:00:00,24:00:00,16200,1
2g,06:00:00,24:00:00,16200,1
2h,06:00:00,24:00:00,16200,1
2i,06:00:00,24:00:00,16200,1
2j,06:00:00,24:00:00,32400,1
2k,06:00:00,24:00:00,16200,1
2l,06:00:00,24:00:00,16200,1
2m,06:00:00,24:00:00,16200,1
2n,06:00:00,24:00:00,16200,1
2o,06:00:00,24:00:00,32400,1
2p,06:00:00,24:00:00,16200,1
2q,06:00:00,24:00:00,16200,1
2r,06:00:00,24:00:00,32400,1
2s,06:00:00,24:00:00,16200,1
2t,06:00:00,24:00:00,16200,1
2u,06:00:00,24:00:00,16200,1
2v,06:00:00,24:00:00,32400,1
2w,06:00:00,24:00:00,16200,1
2x,06:00:00,24:00:00,8100,1
2y,06:00:00,24:00:00,16200,1
2z,06:00:00,24:00:00,16200,1
3,06:00:00,24:00:00,8100,1
30,06:00:00,24:00:00,16200,1
31,06:00:00,24:00:00,16200,1
32,06:00:00,24:00:00,8100,1
33,06:00:00,24:00:00,32400,1
34,06:00:00,24:00:00,16200,1
35,06:00:00,24:00:00,16200,1
36,06:00:00,24:00:00,16200,1
37,06:00:00,24:00:00,32400,1
38,06:00:00,24:00:00,8100,1
39,06:00:00,24:00:00,16200,1
3a,06:00:00,24:00:00,16200,1
3b,06:00:00,24:00:00,8100,1
3c,06:00:00,24:00:00,16200,1
3d,06:00:00,24:00:00,16200,1
3e,06:00:00,24:00:00,16200,1
3f,06:00:00,24:00:00,16200,1
3g,06:00:00,24:00:00,16200,1
3h,06:00:00,24:00:00,16200,1
3i,06:00:00,24:00:00,16200,1
3j,06:00:00,24:00:00,16200,1
3k,06:00:00,24:00:00,8100,1
3l,06:00:00,24:00:00,16200,1
3m,06:00:00,24:00:00,8100,1
3n,06:00:00,24:00:00,16200,1
3o,06:00:00,24:00:00,16200,1
3p,06:00:00,24:00:00,16200,1
3q,06:00:00,24:00:00,8100,1
3r,06:00:00,24:00:00,16200,1
3s,06:00:00,24:00:00,16200,1
3t,06:00:00,24:00:00,16200,1
3u,06:00:00,24:00:00,32400,1
3v,06:00:00,24:00:00,16200,1
3w,06:00:00,24:00:00,32400,1
3x,06:00:00,24:00:00,8100,1
3y,06:00:00,24:00:00,32400,1
3z,06:00:00,24:00:00,32400,1
4,06:00:00,24:00:00,16200,1
40,06:00:00,24:00:00,16200,1
41,06:00:00,24:00:00,16200,1
42,06:00:00,24:00:00,16200,1
43,06:00:00,24:00:00,8100,1
44,06:00:00,24:00:00,32400,1
45,06:00:00,24:00:00,8100,1
46,06:00:00,24:00:00,8100,1
