route_long_name,route_short_name,agency_id,route_type,route_id
,AIR_AGP_AMS,1,1100,ba
,AIR_AGP_ARN,1,1100,j9
,AIR_AGP_BCN,1,1100,31
,AIR_AGP_BRU,1,1100,ca
,AIR_AGP_CDG,1,1100,73
,AIR_AGP_CPH,1,1100,fw
,AIR_AGP_DUB,1,1100,dd
,AIR_AGP_DUS,1,1100,k
,AIR_AGP_FCO,1,1100,cg
,AIR_AGP_FRA,1,1100,cc
,AIR_AGP_HAM,1,1100,48
,AIR_AGP_LGW,1,1100,1t
,AIR_AGP_LHR,1,1100,i5
,AIR_AGP_LIS,1,1100,8k
,AIR_AGP_LPA,1,1100,cw
,AIR_AGP_MAD,1,1100,93
,AIR_AGP_MAN,1,1100,jp
,AIR_AGP_MUC,1,1100,8m
,AIR_AGP_ORY,1,1100,11
,AIR_AGP_OSL,1,1100,2b
,AIR_AGP_PMI,1,1100,51
,AIR_AGP_PRG,1,1100,6p
,AIR_AGP_STN,1,1100,6c
,AIR_AGP_TXL,1,1100,7a
,AIR_AGP_VIE,1,1100,hr
,AIR_AGP_ZRH,1,1100,1z
,AIR_ALC_AMS,1,1100,i2
,AIR_ALC_ARN,1,1100,3f
,AIR_ALC_BCN,1,1100,d8
,AIR_ALC_BRU,1,1100,5o
,AIR_ALC_CPH,1,1100,ch
,AIR_ALC_DUB,1,1100,hl
,AIR_ALC_DUS,1,1100,fk
,AIR_ALC_FCO,1,1100,6z
,AIR_ALC_FRA,1,1100,91
,AIR_ALC_HAM,1,1100,ih
,AIR_ALC_LGW,1,1100,4g
,AIR_ALC_LPA,1,1100,cq
,AIR_ALC_MAD,1,1100,5i
,AIR_ALC_MAN,1,1100,h2
,AIR_ALC_MUC,1,1100,kh
,AIR_ALC_ORY,1,1100,eq
,AIR_ALC_OSL,1,1100,5f
,AIR_ALC_PMI,1,1100,6y
,AIR_ALC_STN,1,1100,79
,AIR_ALC_TFS,1,1100,gz
,AIR_ALC_TXL,1,1100,6l
,AIR_ALC_ZRH,1,1100,8f
,AIR_AMS_AGP,1,1100,fs
,AIR_AMS_ALC,1,1100,kr
,AIR_AMS_ARN,1,1100,49
,AIR_AMS_ATH,1,1100,6h
,AIR_AMS_BCN,1,1100,gl
,AIR_AMS_BRU,1,1100,dt
,AIR_AMS_CDG,1,1100,b4
,AIR_AMS_CPH,1,1100,3d
,AIR_AMS_DUB,1,1100,6m
,AIR_AMS_DUS,1,1100,8a
,AIR_AMS_FCO,1,1100,b5
,AIR_AMS_FRA,1,1100,f3
,AIR_AMS_HAM,1,1100,cd
,AIR_AMS_LGW,1,1100,7h
,AIR_AMS_LHR,1,1100,cf
,AIR_AMS_LIS,1,1100,38
,AIR_AMS_LPA,1,1100,ha
,AIR_AMS_MAD,1,1100,ew
,AIR_AMS_MAN,1,1100,5k
,AIR_AMS_MUC,1,1100,cx
,AIR_AMS_OSL,1,1100,5z
,AIR_AMS_PMI,1,1100,j0
,AIR_AMS_PRG,1,1100,i3
,AIR_AMS_STN,1,1100,15
,AIR_AMS_TFS,1,1100,cv
,AIR_AMS_TXL,1,1100,82
,AIR_AMS_VIE,1,1100,dl
,AIR_AMS_ZRH,1,1100,cb
,AIR_ARN_AGP,1,1100,ge
,AIR_ARN_ALC,1,1100,b7
,AIR_ARN_AMS,1,1100,jz
,AIR_ARN_ATH,1,1100,kg
,AIR_ARN_BCN,1,1100,hu
,AIR_ARN_BRU,1,1100,hh
,AIR_ARN_CDG,1,1100,67
,AIR_ARN_CPH,1,1100,3
,AIR_ARN_DUB,1,1100,1w
,AIR_ARN_DUS,1,1100,gr
,AIR_ARN_FCO,1,1100,ea
,AIR_ARN_FRA,1,1100,kq
,AIR_ARN_HAM,1,1100,97
,AIR_ARN_LGW,1,1100,km
,AIR_ARN_LHR,1,1100,jc
,AIR_ARN_LIS,1,1100,kt
,AIR_ARN_LPA,1,1100,d0
,AIR_ARN_MAD,1,1100,2g
,AIR_ARN_MAN,1,1100,ae
,AIR_ARN_MUC,1,1100,3t
,AIR_ARN_ORY,1,1100,2q
,AIR_ARN_OSL,1,1100,2i
,AIR_ARN_PMI,1,1100,hd
,AIR_ARN_PRG,1,1100,1c
,AIR_ARN_TXL,1,1100,hs
,AIR_ARN_VIE,1,1100,ki
,AIR_ARN_ZRH,1,1100,1k
,AIR_ATH_AMS,1,1100,k2
,AIR_ATH_ARN,1,1100,di
,AIR_ATH_BCN,1,1100,72
,AIR_ATH_BRU,1,1100,ce
,AIR_ATH_CDG,1,1100,z
,AIR_ATH_CPH,1,1100,fx
,AIR_ATH_DUB,1,1100,1x
,AIR_ATH_DUS,1,1100,65
,AIR_ATH_FCO,1,1100,ji
,AIR_ATH_FRA,1,1100,y
,AIR_ATH_HAM,1,1100,i9
,AIR_ATH_LGW,1,1100,6u
,AIR_ATH_LHR,1,1100,1h
,AIR_ATH_MAD,1,1100,1i
,AIR_ATH_MAN,1,1100,hx
,AIR_ATH_MUC,1,1100,66
,AIR_ATH_ORY,1,1100,c2
,AIR_ATH_OSL,1,1100,8t
,AIR_ATH_PRG,1,1100,en
,AIR_ATH_STN,1,1100,x
,AIR_ATH_TXL,1,1100,42
,AIR_ATH_VIE,1,1100,a8
,AIR_ATH_ZRH,1,1100,a
,AIR_BCN_AGP,1,1100,ff
,AIR_BCN_ALC,1,1100,ak
,AIR_BCN_AMS,1,1100,k9
,AIR_BCN_ARN,1,1100,b8
,AIR_BCN_ATH,1,1100,q
,AIR_BCN_BRU,1,1100,ho
,AIR_BCN_CDG,1,1100,e6
,AIR_BCN_CPH,1,1100,2w
,AIR_BCN_DUB,1,1100,6g
,AIR_BCN_DUS,1,1100,ek
,AIR_BCN_FCO,1,1100,69
,AIR_BCN_FRA,1,1100,eo
,AIR_BCN_HAM,1,1100,9s
,AIR_BCN_LGW,1,1100,e9
,AIR_BCN_LHR,1,1100,43
,AIR_BCN_LIS,1,1100,jg
,AIR_BCN_LPA,1,1100,1e
,AIR_BCN_MAD,1,1100,4b
,AIR_BCN_MAN,1,1100,9d
,AIR_BCN_MUC,1,1100,gn
,AIR_BCN_ORY,1,1100,5r
,AIR_BCN_OSL,1,1100,cu
,AIR_BCN_PMI,1,1100,4x
,AIR_BCN_PRG,1,1100,55
,AIR_BCN_STN,1,1100,5h
,AIR_BCN_TFS,1,1100,h8
,AIR_BCN_TXL,1,1100,5x
,AIR_BCN_VIE,1,1100,jj
,AIR_BCN_ZRH,1,1100,aq
,AIR_BRU_AGP,1,1100,fg
,AIR_BRU_ALC,1,1100,jf
,AIR_BRU_AMS,1,1100,4t
,AIR_BRU_ARN,1,1100,5d
,AIR_BRU_ATH,1,1100,fj
,AIR_BRU_BCN,1,1100,7s
,AIR_BRU_CDG,1,1100,ep
,AIR_BRU_CPH,1,1100,7i
,AIR_BRU_DUB,1,1100,bj
,AIR_BRU_FCO,1,1100,f7
,AIR_BRU_FRA,1,1100,bt
,AIR_BRU_HAM,1,1100,8h
,AIR_BRU_LGW,1,1100,fn
,AIR_BRU_LHR,1,1100,du
,AIR_BRU_LIS,1,1100,eu
,AIR_BRU_LPA,1,1100,87
,AIR_BRU_MAD,1,1100,ir
,AIR_BRU_MAN,1,1100,gy
,AIR_BRU_MUC,1,1100,6i
,AIR_BRU_OSL,1,1100,ey
,AIR_BRU_PMI,1,1100,fm
,AIR_BRU_PRG,1,1100,3u
,AIR_BRU_TFS,1,1100,62
,AIR_BRU_TXL,1,1100,5c
,AIR_BRU_VIE,1,1100,bv
,AIR_BRU_ZRH,1,1100,k4
,AIR_CDG_AGP,1,1100,2d
,AIR_CDG_AMS,1,1100,1
,AIR_CDG_ARN,1,1100,4k
,AIR_CDG_ATH,1,1100,3b
,AIR_CDG_BCN,1,1100,ij
,AIR_CDG_BRU,1,1100,bu
,AIR_CDG_CPH,1,1100,7x
,AIR_CDG_DUB,1,1100,23
,AIR_CDG_DUS,1,1100,53
,AIR_CDG_FCO,1,1100,av
,AIR_CDG_FRA,1,1100,c9
,AIR_CDG_HAM,1,1100,j5
,AIR_CDG_LGW,1,1100,d
,AIR_CDG_LHR,1,1100,44
,AIR_CDG_LIS,1,1100,7b
,AIR_CDG_LPA,1,1100,1u
,AIR_CDG_MAD,1,1100,8u
,AIR_CDG_MAN,1,1100,3p
,AIR_CDG_MUC,1,1100,fq
,AIR_CDG_OSL,1,1100,go
,AIR_CDG_PRG,1,1100,f6
,AIR_CDG_TFS,1,1100,hp
,AIR_CDG_TXL,1,1100,3s
,AIR_CDG_VIE,1,1100,7p
,AIR_CDG_ZRH,1,1100,3e
,AIR_CPH_AGP,1,1100,6t
,AIR_CPH_ALC,1,1100,f1
,AIR_CPH_AMS,1,1100,1p
,AIR_CPH_ARN,1,1100,jn
,AIR_CPH_ATH,1,1100,i0
,AIR_CPH_BCN,1,1100,1d
,AIR_CPH_BRU,1,1100,gk
,AIR_CPH_CDG,1,1100,2
,AIR_CPH_DUB,1,1100,7m
,AIR_CPH_DUS,1,1100,fo
,AIR_CPH_FCO,1,1100,aj
,AIR_CPH_FRA,1,1100,gv
,AIR_CPH_HAM,1,1100,2s
,AIR_CPH_LGW,1,1100,k8
,AIR_CPH_LHR,1,1100,4u
,AIR_CPH_LIS,1,1100,7q
,AIR_CPH_LPA,1,1100,n
,AIR_CPH_MAD,1,1100,hn
