trip_id,arrival_time,departure_time,stop_id,stop_sequence
es,06:00:00,06:00:00,8,1
es,06:59:52,06:59:52,4,2
gm,06:00:00,06:00:00,6,1
gm,08:46:44,08:46:44,m,2
42,06:00:00,06:00:00,c,1
42,08:18:51,08:18:51,d,2
18,06:00:00,06:00:00,6,1
18,10:01:04,10:01:04,d,2
cr,06:00:00,06:00:00,r,1
cr,07:34:14,07:34:14,l,2
k9,06:00:00,06:00:00,t,1
k9,06:49:50,06:49:50,j,2
i0,06:00:00,06:00:00,4,1
i0,06:53:27,06:53:27,p,2
15,06:00:00,06:00:00,2,1
15,08:21:56,08:21:56,l,2
ab,06:00:00,06:00:00,a,1
ab,07:13:21,07:13:21,4,2
59,06:00:00,06:00:00,2,1
59,07:00:52,07:00:52,k,2
3y,06:00:00,06:00:00,d,1
3y,07:35:24,07:35:24,j,2
83,06:00:00,06:00:00,5,1
83,08:42:21,08:42:21,m,2
bf,06:00:00,06:00:00,m,1
bf,08:09:43,08:09:43,3,2
kc,06:00:00,06:00:00,q,1
kc,07:51:31,07:51:31,j,2
cl,06:00:00,06:00:00,1,1
cl,08:42:38,08:42:38,l,2
gc,06:00:00,06:00:00,l,1
gc,09:13:05,09:13:05,5,2
88,06:00:00,06:00:00,6,1
88,09:18:23,09:18:23,l,2
k,06:00:00,06:00:00,2,1
k,07:25:43,07:25:43,o,2
1u,06:00:00,06:00:00,e,1
1u,09:32:00,09:32:00,h,2
gz,06:00:00,06:00:00,e,1
gz,09:28:17,09:28:17,m,2
e8,06:00:00,06:00:00,j,1
e8,07:59:22,07:59:22,b,2
d4,06:00:00,06:00:00,q,1
d4,08:21:28,08:21:28,r,2
h8,06:00:00,06:00:00,3,1
h8,07:59:55,07:59:55,a,2
jb,06:00:00,06:00:00,1,1
jb,06:55:41,06:55:41,a,2
j5,06:00:00,06:00:00,g,1
j5,07:04:11,07:04:11,p,2
1k,06:00:00,06:00:00,6,1
1k,10:19:41,10:19:41,r,2
ci,06:00:00,06:00:00,1,1
ci,07:17:30,07:17:30,4,2
4c,06:00:00,06:00:00,n,1
4c,08:47:54,08:47:54,3,2
1r,06:00:00,06:00:00,g,1
1r,07:46:18,07:46:18,9,2
6m,06:00:00,06:00:00,a,1
6m,07:59:55,07:59:55,3,2
5j,06:00:00,06:00:00,c,1
5j,08:33:23,08:33:23,o,2
a5,06:00:00,06:00:00,8,1
a5,10:00:03,10:00:03,5,2
5,06:00:00,06:00:00,o,1
5,07:25:43,07:25:43,2,2
kh,06:00:00,06:00:00,q,1
kh,08:31:51,08:31:51,u,2
hi,06:00:00,06:00:00,e,1
hi,10:05:40,10:05:40,u,2
x,06:00:00,06:00:00,t,1
x,07:14:46,07:14:46,s,2
cu,06:00:00,06:00:00,c,1
cu,08:30:35,08:30:35,r,2
gp,06:00:00,06:00:00,1,1
gp,07:45:16,07:45:16,8,2
4n,06:00:00,06:00:00,a,1
4n,07:41:02,07:41:02,h,2
bs,06:00:00,06:00:00,j,1
bs,07:48:19,07:48:19,h,2
7f,06:00:00,06:00:00,1,1
7f,08:54:47,08:54:47,f,2
23,06:00:00,06:00:00,8,1
23,07:28:52,07:28:52,u,2
fa,06:00:00,06:00:00,3,1
fa,08:47:54,08:47:54,n,2
ka,06:00:00,06:00:00,3,1
ka,08:15:25,08:15:25,o,2
66,06:00:00,06:00:00,6,1
66,10:08:25,10:08:25,o,2
6f,06:00:00,06:00:00,1,1
6f,07:44:35,07:44:35,b,2
89,06:00:00,06:00:00,h,1
89,08:27:17,08:27:17,n,2
ft,06:00:00,06:00:00,h,1
ft,07:40:37,07:40:37,t,2
az,06:00:00,06:00:00,m,1
az,07:49:50,07:49:50,8,2
ba,06:00:00,06:00:00,c,1
ba,10:02:24,10:02:24,9,2
ad,06:00:00,06:00:00,f,1
ad,08:08:12,08:08:12,o,2
ix,06:00:00,06:00:00,8,1
ix,08:21:26,08:21:26,c,2
hm,06:00:00,06:00:00,2,1
hm,06:50:59,06:50:59,1,2
dt,06:00:00,06:00:00,g,1
dt,07:57:33,07:57:33,l,2
6y,06:00:00,06:00:00,q,1
6y,09:45:06,09:45:06,m,2
6u,06:00:00,06:00:00,n,1
6u,08:38:48,08:38:48,s,2
fb,06:00:00,06:00:00,q,1
fb,06:58:59,06:58:59,9,2
c,06:00:00,06:00:00,u,1
c,08:13:35,08:13:35,t,2
da,06:00:00,06:00:00,n,1
da,08:33:11,08:33:11,u,2
id,06:00:00,06:00:00,k,1
id,06:52:25,06:52:25,t,2
1x,06:00:00,06:00:00,j,1
1x,09:17:08,09:17:08,n,2
1i,06:00:00,06:00:00,2,1
1i,07:30:48,07:30:48,b,2
gh,06:00:00,06:00:00,6,1
gh,11:01:00,11:01:00,7,2
c0,06:00:00,06:00:00,a,1
c0,07:05:58,07:05:58,t,2
jc,06:00:00,06:00:00,q,1
jc,08:27:57,08:27:57,d,2
2w,06:00:00,06:00:00,n,1
2w,08:37:42,08:37:42,b,2
82,06:00:00,06:00:00,1,1
82,06:50:59,06:50:59,2,2
ca,06:00:00,06:00:00,2,1
ca,07:31:54,07:31:54,q,2
aj,06:00:00,06:00:00,t,1
aj,07:40:37,07:40:37,h,2
51,06:00:00,06:00:00,o,1
51,08:17:19,08:17:19,i,2
hv,06:00:00,06:00:00,l,1
hv,08:42:38,08:42:38,1,2
et,06:00:00,06:00:00,u,1
et,08:06:25,08:06:25,9,2
gg,06:00:00,06:00:00,b,1
gg,08:13:27,08:13:27,l,2
1z,06:00:00,06:00:00,g,1
1z,07:05:09,07:05:09,a,2
eb,06:00:00,06:00:00,q,1
eb,07:11:00,07:11:00,1,2
6i,06:00:00,06:00:00,t,1
6i,06:56:38,06:56:38,7,2
al,06:00:00,06:00:00,c,1
al,07:27:26,07:27:26,l,2
c6,06:00:00,06:00:00,m,1
c6,08:07:38,08:07:38,p,2
bi,06:00:00,06:00:00,7,1
bi,07:27:33,07:27:33,2,2
16,06:00:00,06:00:00,h,1
16,07:29:06,07:29:06,r,2
8m,06:00:00,06:00:00,g,1
8m,10:32:47,10:32:47,6,2
7,06:00:00,06:00:00,7,1
7,11:01:00,11:01:00,6,2
47,06:00:00,06:00:00,r,1
47,07:44:42,07:44:42,f,2
6j,06:00:00,06:00:00,4,1
6j,08:48:28,08:48:28,n,2
eo,06:00:00,06:00:00,5,1
eo,11:55:07,11:55:07,q,2
j9,06:00:00,06:00:00,7,1
j9,07:41:57,07:41:57,4,2
bv,06:00:00,06:00:00,8,1
bv,09:08:08,09:08:08,e,2
4h,06:00:00,06:00:00,g,1
4h,06:55:28,06:55:28,2,2
ke,06:00:00,06:00:00,4,1
ke,07:17:30,07:17:30,1,2
8o,06:00:00,06:00:00,8,1
8o,07:05:43,07:05:43,r,2
53,06:00:00,06:00:00,i,1
53,09:53:20,09:53:20,q,2
91,06:00:00,06:00:00,t,1
91,10:34:04,10:34:04,5,2
f9,06:00:00,06:00:00,a,1
f9,07:19:28,07:19:28,r,2
3o,06:00:00,06:00:00,3,1
3o,08:26:00,08:26:00,c,2
9,06:00:00,06:00:00,f,1
9,07:10:57,07:10:57,m,2
ex,06:00:00,06:00:00,2,1
ex,09:03:23,09:03:23,e,2
ac,06:00:00,06:00:00,b,1
ac,07:52:47,07:52:47,9,2
i1,06:00:00,06:00:00,7,1
i1,08:06:28,08:06:28,q,2
bu,06:00:00,06:00:00,5,1
bu,10:15:05,10:15:05,r,2
7j,06:00:00,06:00:00,a,1
7j,07:11:00,07:11:00,7,2
fz,06:00:00,06:00:00,8,1
fz,07:14:05,07:14:05,b,2
2t,06:00:00,06:00:00,9,1
